modality,column_index,column_name
mutation,586,ALOX15B
mutation,587,ALOX5
mutation,588,ALOX5AP
mutation,589,ALOXE3
mutation,590,ALPG
mutation,591,ALPI
mutation,592,ALPK1
mutation,593,ALPK2
mutation,594,ALPK3
mutation,595,ALPL
mutation,596,ALPP
mutation,597,ALS2
mutation,598,ALS2CL
mutation,599,ALX1
mutation,600,ALX3
mutation,601,ALX4
mutation,602,ALYREF
mutation,603,AMACR
mutation,604,AMBN
mutation,605,AMBP
mutation,606,AMBRA1
mutation,607,AMD1
mutation,608,AMDHD1
mutation,609,AMDHD2
mutation,610,AMELX
mutation,611,AMELY
mutation,612,AMER1
mutation,613,AMER2
mutation,614,AMER3
mutation,615,AMFR
mutation,616,AMH
mutation,617,AMHR2
mutation,618,AMIGO1
mutation,619,AMIGO2
mutation,620,AMIGO3
mutation,621,AMMECR1
mutation,622,AMMECR1L
mutation,623,AMN
mutation,624,AMN1
mutation,625,AMOT
mutation,626,AMOTL1
mutation,627,AMOTL2
mutation,628,AMPD1
mutation,629,AMPD2
mutation,630,AMPD3
mutation,631,AMPH
mutation,632,AMT
mutation,633,AMTN
mutation,634,AMY1A
mutation,635,AMY1C
mutation,636,AMY2A
mutation,637,AMY2B
mutation,638,AMZ1
mutation,639,AMZ2
mutation,640,ANAPC1
mutation,641,ANAPC10
mutation,642,ANAPC11
mutation,643,ANAPC13
mutation,644,ANAPC16
mutation,645,ANAPC2
mutation,646,ANAPC4
mutation,647,ANAPC5
mutation,648,ANAPC7
mutation,649,ANG
mutation,650,ANGEL1
mutation,651,ANGEL2
mutation,652,ANGPT1
mutation,653,ANGPT2
mutation,654,ANGPT4
mutation,655,ANGPTL1
mutation,656,ANGPTL2
mutation,657,ANGPTL3
mutation,658,ANGPTL4
mutation,659,ANGPTL5
mutation,660,ANGPTL6
mutation,661,ANGPTL7
mutation,662,ANGPTL8
mutation,663,ANHX
mutation,664,ANK1
mutation,665,ANK2
mutation,666,ANK3
mutation,667,ANKAR
mutation,668,ANKDD1A
mutation,669,ANKDD1B
mutation,670,ANKEF1
mutation,671,ANKFN1
mutation,672,ANKFY1
mutation,673,ANKH
mutation,674,ANKHD1
mutation,675,ANKHD1-EIF4EBP3
mutation,676,ANKIB1
mutation,677,ANKK1
mutation,678,ANKLE1
mutation,679,ANKLE2
mutation,680,ANKMY1
mutation,681,ANKMY2
mutation,682,ANKRA2
mutation,683,ANKRD1
mutation,684,ANKRD10
mutation,685,ANKRD11
mutation,686,ANKRD12
mutation,687,ANKRD13A
mutation,688,ANKRD13B
mutation,689,ANKRD13C
mutation,690,ANKRD13D
mutation,691,ANKRD16
mutation,692,ANKRD17
mutation,693,ANKRD18A
mutation,694,ANKRD18B
mutation,695,ANKRD2
mutation,696,ANKRD20A1
mutation,697,ANKRD20A2P
mutation,698,ANKRD20A4P
mutation,699,ANKRD22
mutation,700,ANKRD23
mutation,701,ANKRD24
mutation,702,ANKRD26
mutation,703,ANKRD27
mutation,704,ANKRD28
mutation,705,ANKRD29
